author,year,paper_title,doi,country,state_region,lat,lon,ecosystem,lake_area,system_type,predator_latin,predator_common,base_latin,base_common,dN_top,dN_base,tp_base,fcl,tef,lake_id,ecosystem_key,TP
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N88,1.78,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.33,3.4,n88,n88,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,FP30,1.48,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.58,3.4,fp30,fp30,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,FBP9,1.78,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.71,3.4,fbp9,fbp9,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,FBP10,1.6,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.73,3.4,fbp10,fbp10,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N63,1.78,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.73,3.4,n63,n63,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,FP32,1.3,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.77,3.4,fp32,fp32,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N107,1.7,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,3.86,3.4,n107,n107,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N89,1.85,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.09,3.4,n89,n89,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,N56,1.48,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.14,3.4,n56,n56,NA
"Garcia, E. et al.",2000,"Mercury concentrations in northern pike ( Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments",10.1139/cjfas-57-S2-129,Canada,Haute-Mauricie,NA,NA,C9,1.85,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,NA,NA,NA,4.22,3.4,c9,c9,NA
